StockCode,Description,Cancelled_Qty,Cancelled_Orders,Cancelled_Revenue
22423,REGENCY CAKESTAND 3 TIER,1468,341,16749.6
22138,BAKING SET 9 PIECE RETROSPOT ,863,209,4072.75
21232,STRAWBERRY CERAMIC TRINKET BOX,928,178,1077.73
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3638,134,9389.65
79323W,WHITE CHERRY LIGHTS,1072,119,6331.3
21843,RED RETROSPOT CAKE STAND,507,106,4405.25
22960,JAM MAKING SET WITH JARS,256,87,1051.04
79323P,PINK CHERRY LIGHTS,693,86,4021.35
82483,WOOD 2 DRAWER CABINET WHITE FINISH,287,82,1704.65
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,157,73,744.95
21231,SWEETHEART CERAMIC TRINKET BOX,323,71,388.93
85099B,JUMBO BAG RED RETROSPOT,1195,71,2134.92
37449,CERAMIC CAKE STAND + HANGING CAKES,256,71,2244.1
21527,RED RETROSPOT TRADITIONAL TEAPOT ,114,69,878.3000000000001
22617,BAKING SET SPACEBOY DESIGN,244,67,1152.5
84949,SILVER HANGING T-LIGHT HOLDER,525,66,815.2499999999999
21314,SMALL GLASS HEART TRINKET POT,1231,66,2303.1000000000004
22467,GUMBALL COAT RACK,294,65,665.55
22061,LARGE CAKE STAND  HANGING STRAWBERY,115,63,1068.85
22666,RECIPE BOX PANTRY YELLOW DESIGN,237,63,655.5500000000001
22699,ROSES REGENCY TEACUP AND SAUCER ,498,62,1315.9
85042,ANTIQUE LILY FAIRY LIGHTS,168,61,757.4
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2523,60,6976.41
79323LP,LIGHT PINK CHERRY LIGHTS,458,59,2702.8
22697,GREEN REGENCY TEACUP AND SAUCER,192,58,530.4
85066,CREAM SWEETHEART MINI CHEST,109,56,1273.65
21658,GLASS  BEURRE DISH,91,53,355.39000000000004
75049L,LARGE CIRCULAR MIRROR MOBILE,903,53,808.75
22634,CHILDS BREAKFAST SET SPACEBOY ,96,53,926.1999999999999
22198,LARGE POPCORN HOLDER ,178,53,287.5
22456,NATURAL SLATE CHALKBOARD LARGE ,104,52,501.5
20725,LUNCH BAG RED RETROSPOT,596,51,890.4
79323B,BLACK CHERRY LIGHTS,248,51,1557.2
84978,HANGING HEART JAR T-LIGHT HOLDER,361,51,417.72
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,98,50,732.1
22197,SMALL POPCORN HOLDER,368,49,280.17
21843,RETRO SPOT CAKE STAND,93,48,996.3499999999999
22698,PINK REGENCY TEACUP AND SAUCER,227,47,625.65
22236,CAKE STAND 3 TIER MAGIC GARDEN,95,47,1121.25
21527,RETRO SPOT TRADITIONAL TEAPOT ,69,45,545.58
20727,LUNCH BAG  BLACK SKULL.,1211,45,1778.95
35400,WOODEN BOX ADVENT CALENDAR ,94,45,806.3
85047,WHITE BEADED GARLAND STRING 20LIGHT,77,43,468.95
20914,SET/5 RED SPOTTY LID GLASS BOWLS,284,43,741.8
22178,VICTORIAN GLASS HANGING T-LIGHT,1010,43,1265.44
20728,LUNCH BAG CARS BLUE,1140,43,1678.0
22649,STRAWBERRY FAIRY CAKE TEAPOT,72,42,352.90000000000003
21258,VICTORIAN SEWING BOX LARGE,134,42,1504.3
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,125,41,353.55
22776,SWEETHEART CAKESTAND 3 TIER,111,40,1020.3499999999999
22618,COOKING SET RETROSPOT,131,40,1226.07
82486,WOOD S/3 CABINET ANT WHITE FINISH,65,39,526.95
22360,GLASS JAR ENGLISH CONFECTIONERY,186,38,521.5
22064,PINK DOUGHNUT TRINKET POT ,138,38,222.7
85063,CREAM SWEETHEART MAGAZINE RACK,66,38,1060.7
20726,LUNCH BAG WOODLAND,1015,38,1497.95
79323GR,GREEN CHERRY LIGHTS,194,37,1168.5
82494L,WOODEN FRAME ANTIQUE WHITE ,511,37,1325.85
