Year,Month,Monthly_Revenue,Total_Orders,Total_Customers,YearMonth,MoM_Growth,AOV
2009,12,683504.01,1512,955,2009-12-01,,452.05291666666665
2010,1,555802.672,1011,720,2010-01-01,-18.68,549.7553630069239
2010,2,504558.956,1104,772,2010-02-01,-9.22,457.02803985507245
2010,3,696978.471,1524,1057,2010-03-01,38.14,457.33495472440944
2010,4,591982.002,1329,942,2010-04-01,-15.06,445.4341625282167
2010,5,597833.38,1377,966,2010-05-01,0.99,434.1564124909223
2010,6,636371.13,1497,1041,2010-06-01,6.45,425.0976152304609
2010,7,589736.17,1381,928,2010-07-01,-7.33,427.03560463432297
2010,8,602224.6,1293,911,2010-08-01,2.12,465.7576179427687
2010,9,829013.951,1689,1145,2010-09-01,37.66,490.8312320899941
2010,10,1033112.01,2133,1497,2010-10-01,24.62,484.34693389592127
2010,11,1166460.022,2587,1607,2010-11-01,12.91,450.8929346733669
2010,12,570422.73,1400,885,2010-12-01,-51.1,407.44480714285714
2011,1,568101.31,987,741,2011-01-01,-0.41,575.58390070922
2011,2,446084.92,997,758,2011-02-01,-21.48,447.4272016048144
2011,3,594081.76,1321,974,2011-03-01,33.18,449.72124148372444
2011,4,468374.331,1149,856,2011-04-01,-21.16,407.63649347258485
2011,5,677355.15,1555,1056,2011-05-01,44.62,435.59816720257237
2011,6,660046.05,1393,991,2011-06-01,-2.56,473.8306173725772
2011,7,598962.901,1331,949,2011-07-01,-9.25,450.0096927122464
2011,8,644051.04,1280,935,2011-08-01,7.53,503.16487500000005
2011,9,950690.202,1755,1266,2011-09-01,47.61,541.7038188034188
2011,10,1035642.45,1929,1364,2011-10-01,8.94,536.8804821150856
2011,11,1156205.61,2657,1664,2011-11-01,11.64,435.15453895370723
2011,12,517208.44,778,615,2011-12-01,-55.27,664.7923393316196
