Year,Month,Monthly_Revenue,Total_Orders,Total_Customers
2009,12,683504.01,1512,955
2010,1,555802.67,1011,720
2010,2,504558.96,1104,772
2010,3,696978.47,1524,1057
2010,4,591982.0,1329,942
2010,5,597833.38,1377,966
2010,6,636371.13,1497,1041
2010,7,589736.17,1381,928
2010,8,602224.6,1293,911
2010,9,829013.95,1689,1145
2010,10,1033112.01,2133,1497
2010,11,1166460.02,2587,1607
2010,12,570422.73,1400,885
2011,1,568101.31,987,741
2011,2,446084.92,997,758
2011,3,594081.76,1321,974
2011,4,468374.33,1149,856
2011,5,677355.15,1555,1056
2011,6,660046.05,1393,991
2011,7,598962.9,1331,949
2011,8,644051.04,1280,935
2011,9,950690.2,1755,1266
2011,10,1035642.45,1929,1364
2011,11,1156205.61,2657,1664
2011,12,517208.44,778,615
