StockCode,Description,Total_Quantity,Total_Revenue,Total_Orders,Avg_Price
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,11.51
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,2.69
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,1.81
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,1.59
47566,PARTY BUNTING,23460,103283.38,2077,4.4
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,1.04
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691,2.7
79321,CHILLI LIGHTS,14843,69084.3,922,4.65
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,1.79
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,3.43
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,1.95
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,5.63
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121,8.38
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,4.96
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,1.81
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,1.89
22470,HEART OF WICKER LARGE,17104,49859.5,1743,2.92
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,2.84
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,1.84
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,1129,2.97
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,4.91
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,1.23
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,1447,4.6
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,1.85
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,1233,2.73
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499,7.31
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399,1.98
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055,1.84
22469,HEART OF WICKER SMALL,26193,43316.54,1779,1.65
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228,1.8
