Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489464,21733,85123a mixed,-96,2009-12-01 10:52:00,0.0,,United Kingdom
489463,71477,short,-240,2009-12-01 10:52:00,0.0,,United Kingdom
489467,85123A,21733 mixed,-192,2009-12-01 10:53:00,0.0,,United Kingdom
489521,21646,,-50,2009-12-01 11:44:00,0.0,,United Kingdom
489655,20683,,-44,2009-12-01 17:26:00,0.0,,United Kingdom
489660,35956,lost,-1043,2009-12-01 17:43:00,0.0,,United Kingdom
489663,35605A,damages,-117,2009-12-01 18:02:00,0.0,,United Kingdom
489806,18010,,-770,2009-12-02 12:42:00,0.0,,United Kingdom
489820,21133,invcd as 84879?,-720,2009-12-02 13:23:00,0.0,,United Kingdom
489821,85049G,,-240,2009-12-02 13:25:00,0.0,,United Kingdom
489899,79323GR,sold as gold,-954,2009-12-03 09:41:00,0.0,,United Kingdom
489901,21098,,-200,2009-12-03 09:47:00,0.0,,United Kingdom
490007,84347,21494,-720,2009-12-03 12:09:00,0.0,,United Kingdom
490016,21982,,-1012,2009-12-03 12:30:00,0.0,,United Kingdom
490055,20620,,-25,2009-12-03 13:22:00,0.0,,United Kingdom
490084,85064,,-89,2009-12-03 15:37:00,0.0,,United Kingdom
490130,21493,lost?,-600,2009-12-03 18:28:00,0.0,,United Kingdom
490146,21558,,-169,2009-12-04 09:29:00,0.0,,United Kingdom
490165,21493,,-106,2009-12-04 11:32:00,0.0,,United Kingdom
490354,21489,,-23,2009-12-04 16:39:00,0.0,,United Kingdom
490379,21490,,-44,2009-12-05 13:26:00,0.0,,United Kingdom
490384,84721,,-42,2009-12-05 14:00:00,0.0,,United Kingdom
490540,37446,,-725,2009-12-07 09:24:00,0.0,,United Kingdom
490713,84347,,-20,2009-12-07 15:26:00,0.0,,United Kingdom
490715,22158,,-30,2009-12-07 15:27:00,0.0,,United Kingdom
490735,35976B,,-60,2009-12-07 17:12:00,0.0,,United Kingdom
490736,35983,,-200,2009-12-07 17:13:00,0.0,,United Kingdom
490765,21450,damaged,-31,2009-12-08 10:59:00,0.0,,United Kingdom
490766,51008,wet,-200,2009-12-08 11:06:00,0.0,,United Kingdom
490975,15059A,,-126,2009-12-08 16:41:00,0.0,,United Kingdom
490976,84571,,-120,2009-12-08 16:42:00,0.0,,United Kingdom
491046,20987,,-100,2009-12-09 10:03:00,0.0,,United Kingdom
491047,21982,,-50,2009-12-09 10:04:00,0.0,,United Kingdom
491065,84855,MIA,-108,2009-12-09 11:59:00,0.0,,United Kingdom
491066,35949,,-67,2009-12-09 12:17:00,0.0,,United Kingdom
491108,84922,,-360,2009-12-09 14:29:00,0.0,,United Kingdom
491128,21490,,-20,2009-12-09 16:00:00,0.0,,United Kingdom
491137,21489,,-8,2009-12-09 16:25:00,0.0,,United Kingdom
491141,22174,,-58,2009-12-09 16:43:00,0.0,,United Kingdom
491167,17013A,,-45,2009-12-10 11:09:00,0.0,,United Kingdom
491206,84841,,-54,2009-12-10 14:10:00,0.0,,United Kingdom
491355,17014C,,-96,2009-12-10 15:52:00,0.0,,United Kingdom
491451,20940,,-46,2009-12-11 11:09:00,0.0,,United Kingdom
491638,21353,,-136,2009-12-11 15:59:00,0.0,,United Kingdom
491639,20668,,-1395,2009-12-11 16:02:00,0.0,,United Kingdom
491732,79030A,smashed,-350,2009-12-14 10:00:00,0.0,,United Kingdom
491817,72487,,-322,2009-12-14 13:37:00,0.0,,United Kingdom
491972,21100,bad quality,-76,2009-12-14 18:43:00,0.0,,United Kingdom
491974,72752B,,-21,2009-12-14 18:44:00,0.0,,United Kingdom
491975,72752C,,-24,2009-12-14 18:44:00,0.0,,United Kingdom
491973,72752A,,-18,2009-12-14 18:44:00,0.0,,United Kingdom
491978,72755C,,-60,2009-12-14 18:45:00,0.0,,United Kingdom
491977,72755B,,-23,2009-12-14 18:45:00,0.0,,United Kingdom
491976,72752D,,-46,2009-12-14 18:45:00,0.0,,United Kingdom
492000,21719,,-81,2009-12-15 11:22:00,0.0,,United Kingdom
492001,21724,,-99,2009-12-15 11:22:00,0.0,,United Kingdom
492002,10138,,-36,2009-12-15 11:23:00,0.0,,United Kingdom
492006,71477,,-100,2009-12-15 11:25:00,0.0,,United Kingdom
492105,22113,,-100,2009-12-15 14:07:00,0.0,,United Kingdom
492171,22170,,-30,2009-12-15 14:53:00,0.0,,United Kingdom
492182,20870,,-29,2009-12-15 15:41:00,0.0,,United Kingdom
492183,20879,,-46,2009-12-15 15:42:00,0.0,,United Kingdom
492215,16169D,,-150,2009-12-15 17:19:00,0.0,,United Kingdom
492217,35815B,,-10,2009-12-15 17:28:00,0.0,,United Kingdom
492219,46775B,,-17,2009-12-15 17:44:00,0.0,,United Kingdom
492365,17011C,,-47,2009-12-16 13:56:00,0.0,,United Kingdom
492364,17011E,,-39,2009-12-16 13:56:00,0.0,,United Kingdom
492366,17013B,,-45,2009-12-16 13:57:00,0.0,,United Kingdom
492464,22187,,-96,2009-12-17 11:33:00,0.0,,United Kingdom
492523,72756,,-396,2009-12-17 12:30:00,0.0,,United Kingdom
492595,21543,,-152,2009-12-17 15:53:00,0.0,,United Kingdom
492719,48173C,MIA,-9,2009-12-18 10:49:00,0.0,,United Kingdom
492748,47504J,,-70,2009-12-18 13:09:00,0.0,,United Kingdom
492788,72739B,discoloured,-70,2009-12-18 17:45:00,0.0,,United Kingdom
492786,46000M,,-60,2009-12-18 17:45:00,0.0,,United Kingdom
492787,85112,damaged,-38,2009-12-18 17:45:00,0.0,,United Kingdom
492790,37503,damaged,-19,2009-12-18 17:46:00,0.0,,United Kingdom
492789,72739C,discoloured,-64,2009-12-18 17:46:00,0.0,,United Kingdom
492791,84029G,,-30,2009-12-18 17:47:00,0.0,,United Kingdom
493093,21479,,-91,2009-12-22 10:55:00,0.0,,United Kingdom
493201,20884,,-5,2009-12-22 13:23:00,0.0,,United Kingdom
493226,84558B,,-2,2009-12-22 13:43:00,0.0,,United Kingdom
493229,37399,,-113,2009-12-22 13:44:00,0.0,,United Kingdom
493232,16258B,,-207,2009-12-22 13:44:00,0.0,,United Kingdom
493237,16161C,,-632,2009-12-22 13:46:00,0.0,,United Kingdom
493328,37492A,,-38,2009-12-23 09:44:00,0.0,,United Kingdom
493327,84705B,,-11,2009-12-23 09:44:00,0.0,,United Kingdom
493370,35004S,,-292,2009-12-23 10:29:00,0.0,,United Kingdom
493405,37452B,,-15,2009-12-23 16:01:00,0.0,,United Kingdom
493406,37452A,,-25,2009-12-23 16:02:00,0.0,,United Kingdom
493494,21231,,-84,2010-01-04 14:56:00,0.0,,United Kingdom
493567,72754D,,-104,2010-01-05 09:16:00,0.0,,United Kingdom
493572,20714,missing,-450,2010-01-05 10:13:00,0.0,,United Kingdom
493668,72740A,,-43,2010-01-05 12:16:00,0.0,,United Kingdom
493669,85166A,,-36,2010-01-05 12:17:00,0.0,,United Kingdom
493698,21981,,-200,2010-01-05 13:42:00,0.0,,United Kingdom
493821,17129D,missing (wrongly coded?),-2127,2010-01-07 12:43:00,0.0,,United Kingdom
493845,84718,,-95,2010-01-07 15:02:00,0.0,,United Kingdom
493858,20753,,-260,2010-01-07 16:12:00,0.0,,United Kingdom
493879,21322,,-17,2010-01-08 09:20:00,0.0,,United Kingdom
493928,21649,,-18,2010-01-08 11:53:00,0.0,,United Kingdom
494025,21779,,-2,2010-01-11 10:11:00,0.0,,United Kingdom
494031,82484,,-6,2010-01-11 10:39:00,0.0,,United Kingdom
494038,84671B,,-2,2010-01-11 11:49:00,0.0,,United Kingdom
494039,20913,,-159,2010-01-11 11:51:00,0.0,,United Kingdom
494114,21502,,-275,2010-01-11 12:30:00,0.0,,United Kingdom
494152,21914,,-71,2010-01-11 15:07:00,0.0,,United Kingdom
494155,21118,,-22,2010-01-11 15:34:00,0.0,,United Kingdom
494158,16169G,,-75,2010-01-11 16:01:00,0.0,,United Kingdom
494162,20968,,-116,2010-01-11 17:18:00,0.0,,United Kingdom
494168,21430,,-90,2010-01-12 09:55:00,0.0,,United Kingdom
494186,20688,,-514,2010-01-12 10:48:00,0.0,,United Kingdom
494248,21553,,-36,2010-01-12 16:39:00,0.0,,United Kingdom
494249,21554,,-24,2010-01-12 16:40:00,0.0,,United Kingdom
494250,21551,,-11,2010-01-12 16:40:00,0.0,,United Kingdom
494251,21552,,-23,2010-01-12 16:40:00,0.0,,United Kingdom
494252,21893,,-24,2010-01-12 16:43:00,0.0,,United Kingdom
494253,85128,,-11,2010-01-12 16:43:00,0.0,,United Kingdom
494254,84925A,,-38,2010-01-12 16:43:00,0.0,,United Kingdom
494257,84925E,,-17,2010-01-12 16:44:00,0.0,,United Kingdom
494256,84925D,,-428,2010-01-12 16:44:00,0.0,,United Kingdom
494259,84838,,-5,2010-01-12 16:45:00,0.0,,United Kingdom
494258,84767,,-12,2010-01-12 16:45:00,0.0,,United Kingdom
494260,84830,,-5,2010-01-12 16:46:00,0.0,,United Kingdom
494261,21309,,-21,2010-01-12 16:47:00,0.0,,United Kingdom
